coc_number,year,total_year_round_beds_es,total_year_round_beds_th,total_year_round_beds_sh,total_year_round_beds_psh,total_year_round_beds_rrh,total_year_round_beds_oph,total_seasonal_beds_es,total_overflow_beds_es,total_chronic_homeless_beds_psh
CA-604,2017,457.0,224.0,0.0,1194.0,378.0,710.0,0.0,12.0,561.0
CA-606,2017,261.0,339.0,0.0,1679.0,521.0,150.0,165.0,0.0,285.0
CA-607,2017,99.0,64.0,0.0,405.0,45.0,0.0,150.0,14.0,150.0
CA-608,2017,614.0,220.0,0.0,1520.0,277.0,0.0,65.0,0.0,1384.0
CA-609,2017,387.0,353.0,17.0,1410.0,1702.0,0.0,28.0,0.0,546.0
CA-611,2017,120.0,242.0,10.0,522.0,399.0,0.0,211.0,3.0,202.0
CA-612,2017,64.0,40.0,0.0,137.0,0.0,0.0,0.0,0.0,103.0
CA-613,2017,94.0,88.0,0.0,48.0,32.0,0.0,0.0,4.0,0.0
CA-614,2017,181.0,72.0,0.0,251.0,74.0,6.0,71.0,28.0,86.0
CO-500,2017,1033.0,715.0,0.0,850.0,284.0,30.0,311.0,202.0,217.0
CO-503,2017,2208.0,2124.0,25.0,4571.0,1223.0,207.0,680.0,350.0,1406.0
CO-504,2017,520.0,446.0,0.0,606.0,118.0,30.0,0.0,85.0,552.0
CT-503,2017,545.0,210.0,0.0,1781.0,186.0,0.0,42.0,48.0,1527.0
CT-505,2017,1703.0,636.0,0.0,5201.0,634.0,0.0,284.0,118.0,2474.0
DC-500,2017,5888.0,1514.0,0.0,6336.0,4480.0,1751.0,424.0,0.0,6236.0
DE-500,2017,575.0,568.0,0.0,671.0,216.0,101.0,31.0,77.0,471.0
FL-500,2017,595.0,393.0,0.0,456.0,67.0,0.0,0.0,103.0,339.0
FL-501,2017,755.0,338.0,15.0,1575.0,535.0,50.0,0.0,4.0,403.0
FL-502,2017,1543.0,459.0,45.0,1524.0,143.0,0.0,0.0,16.0,891.0
FL-503,2017,208.0,316.0,0.0,253.0,7.0,0.0,0.0,4.0,54.0
FL-504,2017,158.0,291.0,0.0,433.0,112.0,0.0,0.0,0.0,97.0
FL-505,2017,60.0,74.0,0.0,216.0,33.0,0.0,38.0,0.0,37.0
FL-506,2017,464.0,295.0,0.0,451.0,42.0,190.0,0.0,203.0,170.0
FL-507,2017,1049.0,1180.0,0.0,1325.0,285.0,451.0,0.0,0.0,1289.0
FL-508,2017,307.0,74.0,0.0,715.0,158.0,0.0,75.0,22.0,0.0
FL-509,2017,102.0,118.0,0.0,363.0,108.0,96.0,0.0,0.0,277.0
FL-510,2017,996.0,572.0,0.0,1143.0,644.0,409.0,0.0,0.0,1037.0
FL-511,2017,317.0,457.0,0.0,364.0,21.0,0.0,0.0,52.0,76.0
FL-512,2017,94.0,96.0,0.0,0.0,16.0,34.0,0.0,2.0,0.0
FL-513,2017,103.0,632.0,0.0,228.0,0.0,0.0,50.0,19.0,88.0
FL-514,2017,192.0,164.0,0.0,151.0,21.0,20.0,30.0,10.0,6.0
FL-515,2017,72.0,79.0,0.0,50.0,5.0,0.0,0.0,23.0,50.0
FL-517,2017,48.0,47.0,0.0,149.0,0.0,0.0,0.0,0.0,46.0
FL-518,2017,82.0,37.0,0.0,95.0,72.0,0.0,0.0,5.0,11.0
FL-519,2017,102.0,118.0,0.0,191.0,94.0,26.0,0.0,5.0,0.0
FL-520,2017,234.0,164.0,0.0,100.0,17.0,25.0,0.0,9.0,34.0
FL-600,2017,1969.0,1012.0,28.0,4620.0,903.0,146.0,0.0,63.0,2567.0
FL-601,2017,848.0,786.0,35.0,1766.0,580.0,64.0,0.0,81.0,734.0
FL-602,2017,66.0,24.0,0.0,65.0,251.0,0.0,0.0,0.0,25.0
FL-603,2017,231.0,55.0,0.0,387.0,311.0,0.0,0.0,0.0,0.0
FL-604,2017,251.0,150.0,0.0,202.0,0.0,11.0,0.0,0.0,54.0
FL-605,2017,403.0,239.0,0.0,965.0,520.0,17.0,0.0,0.0,417.0
FL-606,2017,244.0,196.0,0.0,30.0,0.0,0.0,0.0,0.0,6.0
GA-500,2017,1768.0,1651.0,0.0,1941.0,177.0,0.0,153.0,201.0,1581.0
GA-501,2017,1544.0,855.0,0.0,2450.0,722.0,0.0,0.0,23.0,473.0
GA-502,2017,119.0,145.0,0.0,299.0,15.0,5.0,0.0,0.0,175.0
GA-503,2017,147.0,1.0,0.0,238.0,76.0,0.0,35.0,0.0,55.0
GA-504,2017,154.0,71.0,0.0,169.0,80.0,0.0,0.0,5.0,169.0
GA-505,2017,293.0,54.0,0.0,178.0,42.0,28.0,0.0,0.0,89.0
GA-506,2017,151.0,134.0,0.0,446.0,42.0,0.0,0.0,23.0,42.0
GA-507,2017,306.0,393.0,0.0,689.0,0.0,10.0,40.0,0.0,93.0
GA-508,2017,111.0,230.0,0.0,1861.0,225.0,0.0,4.0,0.0,250.0
GU-500,2017,129.0,0.0,0.0,153.0,108.0,0.0,0.0,7.0,54.0
HI-500,2017,395.0,641.0,0.0,442.0,344.0,0.0,0.0,0.0,265.0
HI-501,2017,1298.0,1893.0,25.0,1684.0,875.0,0.0,0.0,13.0,722.0
IA-500,2017,177.0,124.0,0.0,54.0,11.0,0.0,118.0,0.0,49.0
IA-501,2017,938.0,1357.0,0.0,474.0,470.0,27.0,125.0,60.0,470.0
IA-502,2017,409.0,261.0,0.0,541.0,148.0,172.0,0.0,64.0,283.0
ID-500,2017,546.0,225.0,0.0,337.0,81.0,0.0,0.0,86.0,337.0
ID-501,2017,579.0,341.0,0.0,494.0,182.0,0.0,0.0,14.0,215.0
IL-500,2017,35.0,95.0,0.0,94.0,35.0,0.0,40.0,15.0,23.0
IL-501,2017,206.0,87.0,0.0,346.0,77.0,0.0,0.0,30.0,128.0
IL-502,2017,87.0,141.0,0.0,368.0,30.0,79.0,65.0,30.0,120.0
IL-503,2017,41.0,105.0,0.0,82.0,13.0,4.0,38.0,0.0,60.0
IL-504,2017,104.0,69.0,0.0,144.0,0.0,0.0,0.0,0.0,48.0
IL-506,2017,202.0,112.0,0.0,291.0,72.0,0.0,0.0,4.0,202.0
IL-507,2017,424.0,111.0,0.0,204.0,67.0,0.0,0.0,0.0,37.0
IL-508,2017,40.0,135.0,0.0,287.0,36.0,0.0,0.0,0.0,34.0
IL-509,2017,79.0,15.0,0.0,91.0,54.0,0.0,0.0,4.0,38.0
IL-510,2017,1915.0,3182.0,41.0,9245.0,1107.0,231.0,0.0,2.0,2476.0
IL-511,2017,174.0,281.0,28.0,1349.0,284.0,8.0,364.0,11.0,589.0
IL-512,2017,265.0,96.0,12.0,146.0,14.0,18.0,38.0,0.0,25.0
IL-513,2017,115.0,161.0,0.0,117.0,0.0,30.0,48.0,0.0,36.0
IL-514,2017,208.0,143.0,0.0,358.0,32.0,0.0,10.0,4.0,201.0
IL-515,2017,74.0,28.0,0.0,46.0,46.0,0.0,0.0,5.0,10.0
IL-516,2017,92.0,47.0,0.0,129.0,7.0,24.0,25.0,1.0,38.0
IL-517,2017,333.0,73.0,0.0,78.0,28.0,47.0,0.0,29.0,54.0
IL-518,2017,172.0,162.0,0.0,29.0,0.0,0.0,28.0,8.0,23.0
IL-519,2017,54.0,65.0,0.0,108.0,0.0,0.0,0.0,12.0,40.0
IL-520,2017,177.0,191.0,0.0,81.0,0.0,129.0,0.0,3.0,6.0
IN-502,2017,2954.0,1413.0,25.0,2391.0,635.0,41.0,155.0,170.0,427.0
IN-503,2017,1034.0,691.0,25.0,1276.0,294.0,37.0,111.0,211.0,292.0
KS-502,2017,427.0,134.0,20.0,602.0,74.0,0.0,80.0,0.0,174.0
KS-503,2017,277.0,62.0,0.0,380.0,0.0,0.0,0.0,2.0,14.0
KS-505,2017,120.0,41.0,0.0,24.0,185.0,0.0,0.0,0.0,3.0
KS-507,2017,872.0,392.0,0.0,356.0,304.0,0.0,25.0,14.0,61.0
KY-500,2017,1233.0,391.0,0.0,1127.0,562.0,0.0,148.0,20.0,258.0
KY-501,2017,511.0,406.0,0.0,1689.0,123.0,263.0,0.0,71.0,664.0
KY-502,2017,532.0,465.0,2.0,473.0,32.0,170.0,24.0,89.0,388.0
LA-500,2017,140.0,123.0,0.0,215.0,7.0,0.0,0.0,18.0,71.0
LA-502,2017,332.0,73.0,25.0,483.0,209.0,0.0,0.0,0.0,467.0
LA-503,2017,643.0,390.0,20.0,3032.0,665.0,13.0,59.0,15.0,1451.0
LA-505,2017,101.0,148.0,0.0,100.0,131.0,0.0,0.0,0.0,67.0
LA-506,2017,72.0,124.0,0.0,388.0,79.0,0.0,0.0,1.0,109.0
LA-507,2017,65.0,69.0,0.0,229.0,18.0,0.0,0.0,22.0,229.0
LA-508,2017,75.0,70.0,0.0,295.0,27.0,0.0,0.0,0.0,0.0
LA-509,2017,306.0,388.0,0.0,365.0,18.0,0.0,0.0,9.0,91.0
MA-500,2017,5198.0,648.0,59.0,4750.0,934.0,3184.0,55.0,232.0,3705.0
MA-502,2017,438.0,101.0,0.0,270.0,280.0,64.0,14.0,0.0,67.0
MA-503,2017,258.0,43.0,0.0,290.0,65.0,32.0,18.0,0.0,100.0
MA-504,2017,2285.0,125.0,7.0,951.0,1295.0,162.0,0.0,33.0,402.0
MA-505,2017,227.0,125.0,0.0,262.0,386.0,0.0,0.0,0.0,243.0
MA-506,2017,923.0,518.0,13.0,940.0,686.0,47.0,0.0,78.0,229.0
MA-507,2017,219.0,254.0,0.0,635.0,110.0,95.0,83.0,7.0,143.0
MA-508,2017,499.0,308.0,0.0,99.0,349.0,95.0,0.0,0.0,36.0
MA-509,2017,259.0,173.0,0.0,422.0,22.0,152.0,46.0,22.0,146.0
MA-510,2017,633.0,54.0,6.0,338.0,141.0,232.0,0.0,26.0,175.0
MA-511,2017,956.0,15.0,0.0,924.0,727.0,0.0,23.0,27.0,365.0
MA-515,2017,270.0,24.0,0.0,165.0,300.0,0.0,22.0,0.0,99.0
MA-516,2017,1319.0,307.0,0.0,1146.0,316.0,315.0,27.0,297.0,546.0
MA-517,2017,78.0,47.0,0.0,126.0,9.0,33.0,0.0,0.0,40.0
MA-519,2017,170.0,55.0,0.0,79.0,0.0,6.0,0.0,0.0,50.0
MD-500,2017,80.0,36.0,0.0,63.0,23.0,38.0,22.0,16.0,3.0
MD-501,2017,1240.0,1169.0,20.0,4252.0,474.0,0.0,71.0,0.0,240.0
MD-502,2017,83.0,60.0,0.0,139.0,0.0,0.0,35.0,25.0,22.0
MD-503,2017,148.0,25.0,0.0,324.0,87.0,0.0,65.0,34.0,173.0
MD-504,2017,98.0,0.0,0.0,103.0,0.0,2.0,22.0,2.0,55.0
MD-505,2017,394.0,56.0,0.0,522.0,362.0,0.0,46.0,0.0,122.0
MD-506,2017,73.0,14.0,25.0,41.0,32.0,0.0,25.0,10.0,23.0
MD-507,2017,22.0,110.0,0.0,122.0,62.0,0.0,35.0,0.0,5.0
MD-508,2017,119.0,46.0,0.0,273.0,22.0,1.0,95.0,0.0,121.0
MD-509,2017,155.0,127.0,0.0,49.0,0.0,0.0,0.0,0.0,21.0
MD-510,2017,21.0,9.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
MD-511,2017,43.0,45.0,0.0,121.0,1.0,0.0,82.0,7.0,13.0
MD-512,2017,213.0,68.0,0.0,103.0,39.0,0.0,42.0,0.0,21.0
MD-513,2017,177.0,41.0,0.0,264.0,17.0,0.0,46.0,0.0,69.0
MD-600,2017,196.0,193.0,0.0,236.0,113.0,185.0,50.0,0.0,134.0
MD-601,2017,272.0,198.0,40.0,1829.0,180.0,201.0,98.0,253.0,249.0
ME-500,2017,1217.0,1225.0,15.0,2500.0,369.0,24.0,0.0,124.0,328.0
MI-500,2017,1130.0,321.0,0.0,825.0,850.0,4637.0,29.0,101.0,160.0
MI-501,2017,1163.0,797.0,21.0,2843.0,633.0,4671.0,192.0,67.0,1121.0
MI-502,2017,114.0,69.0,7.0,1619.0,168.0,0.0,30.0,0.0,48.0
MI-503,2017,182.0,108.0,16.0,272.0,31.0,917.0,65.0,5.0,60.0
MI-504,2017,162.0,107.0,0.0,729.0,87.0,1466.0,113.0,0.0,271.0
MI-505,2017,239.0,67.0,0.0,410.0,111.0,1704.0,50.0,5.0,56.0
MI-506,2017,588.0,206.0,0.0,890.0,274.0,2426.0,14.0,70.0,388.0
MI-507,2017,530.0,71.0,0.0,481.0,118.0,1074.0,0.0,5.0,77.0
MI-508,2017,283.0,59.0,0.0,552.0,130.0,1462.0,0.0,125.0,183.0
MI-509,2017,167.0,60.0,0.0,843.0,270.0,549.0,118.0,4.0,299.0
MI-510,2017,210.0,214.0,6.0,380.0,34.0,719.0,0.0,8.0,162.0
MI-511,2017,67.0,50.0,0.0,12.0,34.0,165.0,25.0,10.0,7.0
MI-512,2017,147.0,24.0,0.0,309.0,19.0,189.0,35.0,0.0,24.0
MI-513,2017,36.0,33.0,0.0,56.0,41.0,206.0,21.0,0.0,0.0
MI-514,2017,150.0,76.0,13.0,149.0,10.0,127.0,0.0,19.0,0.0
MI-515,2017,86.0,119.0,0.0,33.0,119.0,0.0,60.0,0.0,23.0
MI-516,2017,127.0,17.0,0.0,229.0,87.0,663.0,16.0,0.0,67.0
MI-517,2017,108.0,88.0,0.0,108.0,53.0,380.0,0.0,10.0,49.0
MI-518,2017,36.0,52.0,0.0,43.0,10.0,213.0,17.0,0.0,36.0
MI-519,2017,138.0,221.0,0.0,109.0,23.0,398.0,0.0,25.0,63.0
MI-523,2017,47.0,92.0,0.0,21.0,24.0,252.0,0.0,0.0,21.0
MN-500,2017,1650.0,1244.0,0.0,4954.0,1230.0,1291.0,100.0,128.0,514.0
MN-501,2017,837.0,650.0,0.0,2414.0,514.0,341.0,0.0,1.0,473.0
MN-502,2017,182.0,320.0,0.0,533.0,62.0,206.0,23.0,0.0,218.0
MN-503,2017,296.0,126.0,0.0,729.0,333.0,0.0,27.0,23.0,133.0
MN-504,2017,28.0,46.0,0.0,179.0,48.0,0.0,0.0,0.0,19.0
MN-505,2017,299.0,329.0,0.0,305.0,104.0,249.0,18.0,3.0,53.0
MN-506,2017,104.0,194.0,0.0,378.0,3.0,16.0,0.0,21.0,61.0
MN-508,2017,124.0,87.0,0.0,452.0,26.0,77.0,0.0,27.0,144.0
MN-509,2017,189.0,189.0,0.0,735.0,49.0,0.0,0.0,24.0,651.0
MN-511,2017,57.0,62.0,0.0,198.0,27.0,0.0,0.0,0.0,48.0
MO-500,2017,201.0,210.0,0.0,363.0,156.0,0.0,48.0,17.0,37.0
MO-501,2017,658.0,680.0,0.0,1764.0,65.0,0.0,32.0,43.0,513.0
MO-503,2017,110.0,145.0,0.0,79.0,50.0,67.0,0.0,148.0,0.0
MO-600,2017,269.0,48.0,0.0,153.0,83.0,13.0,25.0,0.0,2.0
MO-602,2017,269.0,72.0,0.0,163.0,103.0,0.0,0.0,20.0,2.0
MO-603,2017,95.0,77.0,18.0,237.0,12.0,0.0,24.0,10.0,19.0
MO-604,2017,1109.0,708.0,14.0,1929.0,433.0,0.0,30.0,13.0,888.0
MO-606,2017,1206.0,331.0,8.0,1508.0,230.0,0.0,83.0,24.0,492.0
MP-500,2017,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
MS-500,2017,233.0,231.0,0.0,157.0,272.0,0.0,50.0,5.0,40.0
MS-501,2017,545.0,219.0,0.0,138.0,671.0,0.0,7.0,0.0,11.0
MS-503,2017,64.0,30.0,0.0,66.0,238.0,0.0,0.0,0.0,48.0
MT-500,2017,946.0,344.0,0.0,967.0,511.0,14.0,48.0,116.0,120.0
NC-500,2017,364.0,103.0,0.0,466.0,123.0,0.0,87.0,0.0,194.0
NC-501,2017,261.0,233.0,0.0,522.0,108.0,50.0,15.0,2.0,256.0
NC-502,2017,258.0,61.0,0.0,340.0,141.0,0.0,0.0,1.0,115.0
NC-503,2017,2649.0,629.0,0.0,1731.0,467.0,0.0,111.0,31.0,1533.0
NC-504,2017,417.0,100.0,0.0,501.0,31.0,24.0,64.0,5.0,101.0
NC-505,2017,827.0,360.0,0.0,1253.0,1051.0,178.0,133.0,69.0,765.0
NC-506,2017,266.0,139.0,0.0,174.0,16.0,0.0,0.0,0.0,88.0
NC-507,2017,540.0,196.0,0.0,1146.0,405.0,0.0,131.0,29.0,534.0
NC-509,2017,135.0,67.0,0.0,118.0,24.0,0.0,24.0,8.0,0.0
NC-511,2017,38.0,147.0,0.0,198.0,34.0,0.0,30.0,4.0,87.0
NC-513,2017,39.0,52.0,0.0,113.0,5.0,0.0,20.0,0.0,113.0
NC-516,2017,87.0,34.0,0.0,62.0,10.0,0.0,20.0,10.0,3.0
ND-500,2017,896.0,138.0,0.0,630.0,71.0,0.0,25.0,36.0,72.0
NE-500,2017,398.0,259.0,0.0,114.0,259.0,0.0,0.0,0.0,96.0
NE-501,2017,856.0,445.0,0.0,749.0,284.0,160.0,0.0,264.0,464.0
NE-502,2017,322.0,289.0,0.0,242.0,78.0,120.0,0.0,81.0,167.0
NH-500,2017,505.0,184.0,0.0,497.0,138.0,0.0,112.0,47.0,137.0
NH-501,2017,196.0,191.0,4.0,299.0,45.0,78.0,0.0,21.0,54.0
NH-502,2017,106.0,192.0,5.0,329.0,45.0,0.0,0.0,0.0,48.0
NJ-500,2017,303.0,48.0,0.0,223.0,70.0,0.0,0.0,127.0,99.0
NJ-501,2017,156.0,212.0,0.0,401.0,56.0,0.0,15.0,0.0,104.0
NJ-502,2017,400.0,44.0,0.0,79.0,0.0,8.0,57.0,374.0,0.0
NJ-503,2017,499.0,296.0,0.0,880.0,111.0,77.0,20.0,241.0,227.0
NJ-504,2017,1379.0,526.0,0.0,1157.0,40.0,0.0,10.0,207.0,559.0
NJ-506,2017,345.0,32.0,0.0,441.0,195.0,0.0,100.0,230.0,222.0
NJ-507,2017,162.0,62.0,0.0,450.0,81.0,11.0,45.0,204.0,81.0
NJ-508,2017,89.0,157.0,0.0,376.0,70.0,0.0,14.0,32.0,220.0
NJ-509,2017,132.0,142.0,20.0,359.0,13.0,0.0,0.0,101.0,120.0
NJ-510,2017,67.0,60.0,0.0,152.0,4.0,0.0,0.0,93.0,23.0
NJ-511,2017,475.0,51.0,0.0,581.0,163.0,100.0,0.0,13.0,233.0
NJ-512,2017,4.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ-513,2017,105.0,189.0,0.0,297.0,7.0,0.0,0.0,12.0,15.0
NJ-514,2017,282.0,120.0,0.0,605.0,249.0,100.0,0.0,71.0,238.0
NJ-515,2017,205.0,139.0,0.0,466.0,194.0,0.0,14.0,114.0,31.0
NJ-516,2017,163.0,108.0,0.0,133.0,185.0,0.0,0.0,66.0,19.0
NM-500,2017,372.0,310.0,0.0,1557.0,514.0,0.0,300.0,20.0,715.0
NM-501,2017,740.0,252.0,0.0,1077.0,286.0,0.0,96.0,66.0,343.0
NV-500,2017,1395.0,711.0,25.0,2440.0,684.0,0.0,323.0,221.0,1319.0
NV-501,2017,451.0,550.0,0.0,511.0,14.0,0.0,0.0,163.0,403.0
NV-502,2017,148.0,51.0,0.0,250.0,0.0,0.0,0.0,7.0,13.0
NY-500,2017,488.0,137.0,12.0,1985.0,398.0,0.0,65.0,46.0,136.0
NY-501,2017,56.0,75.0,0.0,237.0,228.0,0.0,0.0,70.0,41.0
NY-503,2017,317.0,161.0,0.0,847.0,115.0,0.0,44.0,301.0,151.0
NY-504,2017,50.0,0.0,0.0,61.0,20.0,0.0,0.0,2.0,2.0
NY-505,2017,522.0,288.0,0.0,1493.0,313.0,0.0,0.0,87.0,261.0
NY-507,2017,146.0,34.0,0.0,384.0,45.0,0.0,0.0,117.0,61.0
NY-508,2017,649.0,418.0,16.0,1255.0,396.0,0.0,78.0,1.0,219.0
NY-510,2017,23.0,26.0,0.0,50.0,5.0,47.0,12.0,6.0,50.0
NY-511,2017,126.0,147.0,0.0,299.0,30.0,59.0,0.0,15.0,45.0
NY-512,2017,97.0,42.0,0.0,715.0,200.0,0.0,15.0,43.0,83.0
NY-513,2017,150.0,170.0,15.0,54.0,0.0,0.0,0.0,0.0,0.0
NY-514,2017,26.0,80.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0
NY-516,2017,125.0,0.0,0.0,72.0,8.0,0.0,0.0,0.0,14.0
NY-518,2017,130.0,71.0,0.0,460.0,24.0,0.0,0.0,0.0,31.0
NY-519,2017,25.0,10.0,0.0,63.0,2.0,0.0,0.0,123.0,25.0
NY-520,2017,5.0,0.0,0.0,180.0,1.0,0.0,0.0,22.0,0.0
NY-522,2017,15.0,60.0,0.0,325.0,223.0,0.0,0.0,59.0,16.0
NY-523,2017,75.0,36.0,0.0,244.0,50.0,0.0,0.0,145.0,20.0
NY-600,2017,73675.0,3150.0,40.0,28078.0,2567.0,0.0,0.0,0.0,16093.0
NY-601,2017,216.0,192.0,0.0,212.0,58.0,0.0,2.0,3.0,48.0
NY-602,2017,221.0,58.0,0.0,336.0,0.0,0.0,53.0,46.0,197.0
NY-603,2017,3080.0,240.0,0.0,2503.0,132.0,16.0,0.0,1020.0,923.0
NY-604,2017,1019.0,801.0,0.0,1396.0,341.0,375.0,46.0,105.0,154.0
NY-606,2017,38.0,50.0,0.0,87.0,14.0,0.0,50.0,5.0,4.0
NY-607,2017,109.0,0.0,9.0,54.0,0.0,0.0,0.0,67.0,0.0
NY-608,2017,85.0,30.0,0.0,150.0,2.0,20.0,8.0,267.0,17.0
OH-500,2017,650.0,321.0,0.0,2342.0,1215.0,0.0,246.0,75.0,687.0
OH-501,2017,640.0,171.0,12.0,1196.0,298.0,0.0,45.0,8.0,146.0
OH-502,2017,1362.0,221.0,20.0,4004.0,816.0,0.0,0.0,60.0,1786.0
OH-503,2017,1104.0,125.0,0.0,2732.0,392.0,0.0,59.0,175.0,1006.0
OH-504,2017,173.0,99.0,0.0,379.0,40.0,10.0,0.0,44.0,121.0
OH-505,2017,405.0,135.0,0.0,1390.0,186.0,0.0,60.0,0.0,483.0
OH-506,2017,261.0,194.0,22.0,602.0,207.0,0.0,0.0,25.0,249.0
OH-507,2017,2231.0,936.0,10.0,3626.0,886.0,20.0,113.0,90.0,2490.0
OH-508,2017,243.0,85.0,0.0,499.0,91.0,0.0,0.0,16.0,186.0
OK-500,2017,140.0,73.0,0.0,18.0,54.0,0.0,0.0,0.0,5.0
OK-501,2017,525.0,298.0,25.0,511.0,54.0,0.0,0.0,103.0,225.0
OK-502,2017,1093.0,264.0,0.0,868.0,50.0,0.0,11.0,12.0,387.0
OK-503,2017,109.0,36.0,0.0,51.0,0.0,0.0,0.0,0.0,4.0
OK-504,2017,51.0,21.0,0.0,100.0,0.0,0.0,45.0,2.0,0.0
OK-505,2017,339.0,52.0,0.0,62.0,58.0,10.0,0.0,0.0,50.0
OK-506,2017,224.0,80.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0
OK-507,2017,348.0,0.0,0.0,61.0,129.0,0.0,0.0,7.0,7.0
OR-500,2017,475.0,96.0,0.0,512.0,260.0,0.0,75.0,0.0,107.0
OR-501,2017,1749.0,813.0,0.0,4626.0,2083.0,0.0,0.0,45.0,1748.0
OR-502,2017,170.0,165.0,0.0,559.0,104.0,0.0,107.0,0.0,148.0
OR-503,2017,211.0,61.0,0.0,138.0,177.0,9.0,115.0,2.0,138.0
OR-505,2017,1390.0,1185.0,0.0,603.0,370.0,136.0,69.0,0.0,93.0
OR-506,2017,96.0,142.0,10.0,475.0,140.0,0.0,2.0,0.0,147.0
OR-507,2017,16.0,69.0,0.0,319.0,133.0,0.0,0.0,63.0,95.0
PA-500,2017,3652.0,1587.0,85.0,5279.0,1179.0,900.0,349.0,37.0,1497.0
PA-501,2017,213.0,182.0,25.0,200.0,95.0,42.0,33.0,15.0,34.0
PA-502,2017,322.0,114.0,0.0,351.0,266.0,25.0,0.0,11.0,66.0
PA-503,2017,111.0,118.0,0.0,269.0,136.0,0.0,0.0,52.0,27.0
PA-504,2017,169.0,120.0,0.0,240.0,255.0,16.0,69.0,17.0,73.0
PA-505,2017,200.0,333.0,0.0,532.0,138.0,0.0,30.0,108.0,24.0
PA-506,2017,226.0,262.0,0.0,343.0,9.0,0.0,90.0,0.0,86.0
PA-508,2017,49.0,118.0,4.0,220.0,76.0,0.0,21.0,0.0,165.0
PA-509,2017,1273.0,983.0,0.0,1396.0,612.0,14.0,186.0,31.0,871.0
PA-510,2017,182.0,237.0,0.0,183.0,169.0,0.0,50.0,0.0,38.0
PA-511,2017,110.0,357.0,0.0,117.0,93.0,8.0,77.0,0.0,26.0
PA-512,2017,161.0,239.0,0.0,224.0,24.0,9.0,0.0,12.0,72.0
PA-600,2017,521.0,531.0,40.0,2181.0,442.0,58.0,200.0,7.0,759.0
PA-601,2017,732.0,417.0,38.0,1064.0,368.0,0.0,20.0,17.0,849.0
PA-603,2017,98.0,36.0,0.0,153.0,0.0,0.0,0.0,0.0,95.0
PA-605,2017,229.0,172.0,0.0,411.0,29.0,98.0,65.0,0.0,21.0
PR-502,2017,316.0,693.0,22.0,1269.0,128.0,255.0,0.0,0.0,749.0
PR-503,2017,368.0,122.0,10.0,569.0,103.0,25.0,0.0,0.0,223.0
RI-500,2017,726.0,343.0,0.0,1239.0,328.0,712.0,139.0,7.0,436.0
SC-500,2017,199.0,178.0,0.0,420.0,90.0,8.0,10.0,0.0,348.0
SC-501,2017,752.0,250.0,13.0,352.0,91.0,0.0,140.0,23.0,348.0
SC-502,2017,595.0,436.0,0.0,1068.0,190.0,154.0,320.0,24.0,278.0
SC-503,2017,352.0,156.0,0.0,657.0,102.0,0.0,0.0,48.0,401.0
SD-500,2017,966.0,390.0,0.0,459.0,182.0,0.0,15.0,127.0,104.0
TN-500,2017,222.0,98.0,0.0,442.0,129.0,19.0,160.0,20.0,68.0
TN-501,2017,593.0,931.0,0.0,1352.0,567.0,28.0,37.0,125.0,729.0
TN-502,2017,399.0,307.0,0.0,412.0,167.0,0.0,0.0,26.0,105.0
TN-503,2017,210.0,144.0,0.0,152.0,0.0,0.0,0.0,0.0,57.0
TN-504,2017,1222.0,561.0,0.0,1200.0,100.0,118.0,373.0,11.0,199.0
TN-506,2017,245.0,14.0,0.0,92.0,9.0,0.0,30.0,14.0,0.0
TN-507,2017,100.0,35.0,8.0,309.0,61.0,0.0,0.0,8.0,35.0
TN-509,2017,426.0,124.0,0.0,512.0,54.0,0.0,28.0,23.0,193.0
TN-510,2017,224.0,45.0,0.0,169.0,0.0,11.0,25.0,0.0,2.0
TN-512,2017,318.0,100.0,0.0,41.0,206.0,0.0,0.0,0.0,41.0
TX-500,2017,1487.0,765.0,0.0,2168.0,569.0,1451.0,0.0,0.0,638.0
TX-503,2017,833.0,460.0,16.0,1191.0,254.0,108.0,0.0,44.0,819.0
TX-600,2017,2421.0,938.0,25.0,2218.0,422.0,755.0,0.0,108.0,1093.0
TX-601,2017,1550.0,289.0,20.0,1742.0,682.0,190.0,42.0,72.0,1510.0
TX-603,2017,745.0,494.0,20.0,148.0,79.0,0.0,0.0,35.0,58.0
TX-604,2017,145.0,78.0,3.0,131.0,20.0,0.0,0.0,0.0,10.0
TX-607,2017,3395.0,1248.0,0.0,1052.0,883.0,0.0,0.0,60.0,215.0
TX-611,2017,576.0,79.0,0.0,160.0,0.0,0.0,0.0,21.0,99.0
TX-624,2017,402.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,24.0
TX-700,2017,1758.0,1434.0,0.0,5542.0,1821.0,310.0,0.0,40.0,3808.0
TX-701,2017,163.0,0.0,0.0,0.0,45.0,0.0,12.0,0.0,0.0
UT-500,2017,1415.0,296.0,0.0,2082.0,623.0,123.0,80.0,223.0,1042.0
UT-503,2017,768.0,118.0,0.0,280.0,428.0,0.0,0.0,0.0,161.0
