coc_number,year,total_year_round_beds_es,total_year_round_beds_th,total_year_round_beds_sh,total_year_round_beds_psh,total_year_round_beds_rrh,total_year_round_beds_oph,total_seasonal_beds_es,total_overflow_beds_es,total_chronic_homeless_beds_psh
GA-500,2024,1576.0,796.0,0.0,1444.0,856.0,534.0,0.0,259.0,1168.0
GA-501,2024,2072.0,1312.0,0.0,3307.0,1311.0,31.0,55.0,0.0,506.0
GA-502,2024,127.0,119.0,0.0,590.0,165.0,0.0,0.0,0.0,586.0
GA-503,2024,179.0,92.0,0.0,255.0,43.0,0.0,0.0,0.0,4.0
GA-504,2024,212.0,7.0,0.0,13.0,87.0,0.0,0.0,0.0,0.0
GA-505,2024,319.0,34.0,0.0,108.0,333.0,0.0,10.0,0.0,15.0
GA-506,2024,240.0,134.0,0.0,369.0,92.0,6.0,0.0,40.0,60.0
GA-507,2024,358.0,316.0,0.0,911.0,0.0,42.0,0.0,0.0,139.0
GA-508,2024,185.0,38.0,0.0,1091.0,261.0,73.0,0.0,0.0,199.0
GU-500,2024,142.0,4.0,0.0,263.0,40.0,343.0,0.0,4.0,144.0
HI-500,2024,645.0,55.0,0.0,574.0,421.0,54.0,0.0,5245.0,340.0
HI-501,2024,1528.0,888.0,48.0,2303.0,446.0,946.0,0.0,0.0,378.0
IA-500,2024,134.0,56.0,0.0,71.0,64.0,0.0,118.0,25.0,71.0
IA-501,2024,1076.0,520.0,13.0,635.0,1168.0,385.0,160.0,95.0,543.0
IA-502,2024,387.0,192.0,14.0,521.0,431.0,468.0,20.0,38.0,286.0
ID-500,2024,667.0,152.0,0.0,338.0,117.0,0.0,9.0,10.0,153.0
ID-501,2024,839.0,354.0,0.0,601.0,153.0,299.0,0.0,0.0,150.0
IL-500,2024,75.0,76.0,0.0,40.0,113.0,124.0,0.0,44.0,20.0
IL-501,2024,386.0,190.0,0.0,490.0,161.0,139.0,0.0,0.0,31.0
IL-502,2024,566.0,83.0,0.0,422.0,159.0,361.0,0.0,9.0,173.0
IL-503,2024,113.0,99.0,0.0,125.0,16.0,19.0,0.0,49.0,0.0
IL-504,2024,64.0,12.0,0.0,149.0,107.0,0.0,0.0,0.0,48.0
IL-506,2024,250.0,75.0,0.0,285.0,183.0,0.0,0.0,0.0,169.0
IL-507,2024,452.0,38.0,0.0,370.0,49.0,38.0,0.0,55.0,30.0
IL-508,2024,66.0,142.0,0.0,322.0,116.0,96.0,0.0,122.0,41.0
IL-510,2024,18905.0,1249.0,36.0,9168.0,2979.0,304.0,0.0,0.0,3688.0
IL-511,2024,801.0,372.0,29.0,1651.0,499.0,536.0,204.0,3.0,0.0
IL-512,2024,286.0,95.0,0.0,159.0,35.0,0.0,0.0,0.0,0.0
IL-513,2024,307.0,133.0,0.0,208.0,68.0,55.0,0.0,0.0,84.0
IL-514,2024,407.0,127.0,0.0,339.0,150.0,273.0,0.0,0.0,164.0
IL-515,2024,135.0,51.0,0.0,58.0,160.0,15.0,0.0,13.0,0.0
IL-516,2024,73.0,23.0,0.0,73.0,47.0,62.0,10.0,1.0,34.0
IL-517,2024,436.0,18.0,0.0,124.0,193.0,0.0,0.0,0.0,92.0
IL-518,2024,122.0,36.0,0.0,14.0,96.0,7.0,80.0,0.0,14.0
IL-519,2024,138.0,64.0,0.0,104.0,21.0,0.0,0.0,15.0,95.0
IL-520,2024,259.0,49.0,0.0,96.0,53.0,0.0,0.0,0.0,1.0
IN-502,2024,3702.0,1113.0,25.0,2828.0,713.0,7.0,74.0,15.0,772.0
IN-503,2024,1143.0,200.0,0.0,1195.0,788.0,1161.0,390.0,0.0,735.0
KS-502,2024,305.0,85.0,0.0,615.0,228.0,724.0,250.0,0.0,46.0
KS-503,2024,242.0,75.0,0.0,326.0,21.0,0.0,0.0,0.0,14.0
KS-505,2024,156.0,45.0,0.0,127.0,64.0,0.0,31.0,21.0,0.0
KS-507,2024,845.0,233.0,11.0,324.0,201.0,60.0,43.0,46.0,14.0
KY-500,2024,1680.0,392.0,0.0,1456.0,1383.0,560.0,112.0,138.0,838.0
KY-501,2024,678.0,360.0,0.0,1907.0,285.0,913.0,13.0,228.0,199.0
KY-502,2024,484.0,62.0,0.0,359.0,97.0,136.0,213.0,137.0,344.0
LA-500,2024,214.0,43.0,8.0,359.0,55.0,112.0,0.0,0.0,119.0
LA-502,2024,238.0,54.0,25.0,421.0,89.0,76.0,0.0,0.0,242.0
LA-503,2024,956.0,176.0,34.0,3332.0,1062.0,20.0,0.0,0.0,1423.0
LA-505,2024,71.0,60.0,0.0,64.0,67.0,73.0,0.0,0.0,48.0
LA-506,2024,30.0,29.0,0.0,313.0,72.0,0.0,0.0,0.0,119.0
LA-507,2024,12.0,30.0,0.0,221.0,32.0,0.0,0.0,0.0,14.0
LA-509,2024,402.0,86.0,0.0,880.0,453.0,282.0,0.0,51.0,97.0
MA-500,2024,6456.0,425.0,61.0,3353.0,799.0,3976.0,0.0,150.0,1522.0
MA-502,2024,1060.0,0.0,0.0,217.0,10.0,14.0,0.0,0.0,217.0
MA-503,2024,244.0,116.0,0.0,211.0,29.0,11.0,258.0,113.0,93.0
MA-504,2024,3241.0,187.0,8.0,1099.0,545.0,567.0,0.0,0.0,542.0
MA-505,2024,1062.0,108.0,0.0,350.0,97.0,148.0,0.0,0.0,295.0
MA-506,2024,1728.0,158.0,13.0,986.0,983.0,146.0,0.0,1.0,366.0
MA-507,2024,443.0,171.0,7.0,578.0,475.0,218.0,4.0,334.0,109.0
MA-509,2024,515.0,65.0,0.0,468.0,95.0,220.0,57.0,43.0,179.0
MA-511,2024,1062.0,0.0,0.0,1246.0,691.0,0.0,20.0,708.0,565.0
MA-515,2024,307.0,26.0,0.0,220.0,58.0,0.0,30.0,20.0,152.0
MA-516,2024,3689.0,379.0,0.0,2023.0,393.0,1052.0,69.0,7037.0,1321.0
MD-501,2024,1102.0,886.0,30.0,2945.0,457.0,2269.0,0.0,38.0,1409.0
MD-503,2024,128.0,16.0,0.0,189.0,196.0,105.0,35.0,0.0,162.0
MD-504,2024,61.0,0.0,0.0,111.0,40.0,25.0,32.0,0.0,89.0
MD-505,2024,572.0,0.0,0.0,578.0,111.0,0.0,0.0,37.0,260.0
MD-506,2024,107.0,0.0,0.0,65.0,41.0,0.0,0.0,6.0,65.0
