coc_number,coc_name,year,overall_homeless,overall_homeless_individuals,overall_homeless_people_in_families,overall_homeless_family_households,overall_chronically_homeless_individuals,sheltered_es_homeless,sheltered_es_homeless_individuals,sheltered_es_homeless_people_in_families,sheltered_es_homeless_family_households,sheltered_th_homeless,sheltered_th_homeless_individuals,sheltered_th_homeless_people_in_families,sheltered_th_homeless_family_households,sheltered_total_homeless,sheltered_total_homeless_individuals,sheltered_total_homeless_people_in_families,sheltered_total_homeless_family_households,sheltered_total_chronically_homeless_individuals,unsheltered_homeless,unsheltered_homeless_individuals,unsheltered_homeless_people_in_families,unsheltered_homeless_family_households,unsheltered_chronically_homeless_individuals
VA-508,Lynchburg CoC,2016,174.0,125.0,49.0,15.0,17.0,92.0,73.0,19.0,6.0,61.0,31.0,30.0,9.0,153.0,104.0,49.0,15.0,10.0,21.0,21.0,0.0,0.0,7.0
VA-513,"Harrisonburg, Winchester/Western Virginia CoC",2016,268.0,173.0,95.0,28.0,64.0,261.0,166.0,95.0,28.0,0.0,0.0,0.0,0.0,261.0,166.0,95.0,28.0,58.0,7.0,7.0,0.0,0.0,6.0
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",2016,209.0,127.0,82.0,22.0,13.0,148.0,93.0,55.0,14.0,27.0,0.0,27.0,8.0,175.0,93.0,82.0,22.0,5.0,34.0,34.0,0.0,0.0,8.0
VA-521,Virginia Balance of State (BoS) CoC,2016,654.0,394.0,260.0,85.0,46.0,392.0,238.0,154.0,51.0,106.0,25.0,81.0,26.0,498.0,263.0,235.0,77.0,22.0,156.0,131.0,25.0,8.0,24.0
VA-600,Arlington County CoC,2016,174.0,124.0,50.0,18.0,41.0,136.0,95.0,41.0,14.0,13.0,4.0,9.0,4.0,155.0,105.0,50.0,18.0,28.0,19.0,19.0,0.0,0.0,13.0
VA-601,Fairfax County CoC,2016,1059.0,484.0,575.0,178.0,146.0,590.0,384.0,206.0,64.0,395.0,26.0,369.0,114.0,985.0,410.0,575.0,178.0,103.0,74.0,74.0,0.0,0.0,43.0
VA-602,Loudoun County CoC,2016,134.0,65.0,69.0,20.0,16.0,70.0,38.0,32.0,10.0,45.0,8.0,37.0,10.0,115.0,46.0,69.0,20.0,9.0,19.0,19.0,0.0,0.0,7.0
VA-603,City of Alexandria CoC,2016,224.0,129.0,95.0,28.0,47.0,153.0,95.0,58.0,16.0,47.0,10.0,37.0,12.0,212.0,117.0,95.0,28.0,36.0,12.0,12.0,0.0,0.0,11.0
VA-604,Prince William County CoC,2016,400.0,187.0,213.0,66.0,52.0,173.0,98.0,75.0,24.0,139.0,6.0,133.0,40.0,312.0,104.0,208.0,64.0,9.0,88.0,83.0,5.0,2.0,43.0
VI-500,Virgin Islands CoC,2016,341.0,308.0,33.0,11.0,26.0,53.0,32.0,21.0,6.0,36.0,24.0,12.0,5.0,89.0,56.0,33.0,11.0,8.0,252.0,252.0,0.0,0.0,18.0
VT-500,Vermont Balance of State CoC,2016,785.0,450.0,335.0,115.0,59.0,470.0,256.0,214.0,72.0,217.0,113.0,104.0,37.0,691.0,373.0,318.0,109.0,44.0,94.0,77.0,17.0,6.0,15.0
VT-501,Burlington/Chittenden County CoC,2016,332.0,205.0,127.0,43.0,61.0,190.0,121.0,69.0,23.0,80.0,22.0,58.0,20.0,270.0,143.0,127.0,43.0,30.0,62.0,62.0,0.0,0.0,31.0
WA-500,Seattle/King County CoC,2016,10730.0,7748.0,2982.0,932.0,785.0,3200.0,2422.0,778.0,244.0,2983.0,835.0,2148.0,660.0,6225.0,3299.0,2926.0,904.0,427.0,4505.0,4449.0,56.0,28.0,358.0
WA-501,Washington Balance of State CoC,2016,5706.0,3392.0,2314.0,719.0,763.0,1565.0,945.0,620.0,187.0,1542.0,521.0,1021.0,334.0,3107.0,1466.0,1641.0,521.0,148.0,2599.0,1926.0,673.0,198.0,615.0
WA-502,Spokane City & County CoC,2016,981.0,677.0,304.0,103.0,158.0,526.0,407.0,119.0,39.0,283.0,106.0,177.0,61.0,809.0,513.0,296.0,100.0,67.0,172.0,164.0,8.0,3.0,91.0
WA-503,Tacoma/Lakewood/Pierce County CoC,2016,1762.0,1062.0,700.0,231.0,307.0,874.0,555.0,319.0,104.0,394.0,82.0,312.0,100.0,1268.0,637.0,631.0,204.0,127.0,494.0,425.0,69.0,27.0,180.0
WA-504,Everett/Snohomish County CoC,2016,960.0,702.0,258.0,88.0,239.0,366.0,208.0,158.0,58.0,123.0,58.0,65.0,20.0,489.0,266.0,223.0,78.0,28.0,471.0,436.0,35.0,10.0,211.0
WA-508,Vancouver/Clark County CoC,2016,688.0,319.0,369.0,112.0,55.0,221.0,122.0,99.0,27.0,242.0,86.0,156.0,44.0,463.0,208.0,255.0,71.0,28.0,225.0,111.0,114.0,41.0,27.0
WI-500,Wisconsin Balance of State CoC,2016,3445.0,1547.0,1898.0,582.0,129.0,1939.0,1019.0,920.0,275.0,1367.0,402.0,965.0,303.0,3313.0,1428.0,1885.0,578.0,106.0,132.0,119.0,13.0,4.0,23.0
WI-501,Milwaukee City & County CoC,2016,1415.0,856.0,559.0,170.0,58.0,616.0,402.0,214.0,69.0,549.0,207.0,342.0,100.0,1208.0,652.0,556.0,169.0,43.0,207.0,204.0,3.0,1.0,15.0
WI-502,Racine City & County CoC,2016,196.0,123.0,73.0,22.0,2.0,124.0,80.0,44.0,11.0,71.0,42.0,29.0,11.0,195.0,122.0,73.0,22.0,2.0,1.0,1.0,0.0,0.0,0.0
WI-503,Madison/Dane County CoC,2016,629.0,360.0,269.0,88.0,87.0,365.0,181.0,184.0,59.0,180.0,98.0,82.0,28.0,559.0,293.0,266.0,87.0,58.0,70.0,67.0,3.0,1.0,29.0
WV-500,Wheeling/Weirton Area CoC,2016,91.0,64.0,27.0,10.0,26.0,62.0,55.0,7.0,3.0,26.0,6.0,20.0,7.0,88.0,61.0,27.0,10.0,25.0,3.0,3.0,0.0,0.0,1.0
WV-501,"Huntington/Cabell, Wayne Counties CoC",2016,228.0,136.0,92.0,29.0,13.0,151.0,107.0,44.0,15.0,50.0,2.0,48.0,14.0,212.0,120.0,92.0,29.0,5.0,16.0,16.0,0.0,0.0,8.0
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",2016,320.0,266.0,54.0,19.0,40.0,229.0,177.0,52.0,18.0,59.0,57.0,2.0,1.0,288.0,234.0,54.0,19.0,29.0,32.0,32.0,0.0,0.0,11.0
WV-508,West Virginia Balance of State CoC,2016,748.0,573.0,175.0,55.0,82.0,521.0,385.0,136.0,43.0,143.0,104.0,39.0,12.0,664.0,489.0,175.0,55.0,54.0,84.0,84.0,0.0,0.0,28.0
WY-500,Wyoming Statewide CoC,2016,857.0,517.0,340.0,110.0,80.0,297.0,184.0,113.0,40.0,194.0,93.0,101.0,37.0,491.0,277.0,214.0,77.0,29.0,366.0,240.0,126.0,33.0,51.0
AK-500,Anchorage CoC,2015,1208.0,837.0,371.0,101.0,106.0,694.0,486.0,208.0,48.0,335.0,193.0,142.0,46.0,1029.0,679.0,350.0,94.0,27.0,179.0,158.0,21.0,7.0,79.0
AK-501,Alaska Balance of State CoC,2015,748.0,505.0,243.0,79.0,76.0,433.0,306.0,127.0,46.0,177.0,99.0,78.0,23.0,610.0,405.0,205.0,69.0,43.0,138.0,100.0,38.0,10.0,33.0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2015,1153.0,886.0,267.0,88.0,239.0,448.0,378.0,70.0,22.0,448.0,263.0,185.0,62.0,916.0,661.0,255.0,84.0,35.0,237.0,225.0,12.0,4.0,204.0
AL-501,Mobile City & County/Baldwin County CoC,2015,578.0,470.0,108.0,35.0,92.0,258.0,223.0,35.0,11.0,106.0,54.0,52.0,18.0,364.0,277.0,87.0,29.0,23.0,214.0,193.0,21.0,6.0,69.0
AL-502,Florence/Northwest Alabama CoC,2015,245.0,158.0,87.0,26.0,18.0,60.0,27.0,33.0,8.0,154.0,106.0,48.0,16.0,214.0,133.0,81.0,24.0,7.0,31.0,25.0,6.0,2.0,11.0
AL-503,Huntsville/North Alabama CoC,2015,420.0,300.0,120.0,37.0,117.0,339.0,231.0,108.0,33.0,18.0,10.0,8.0,3.0,357.0,241.0,116.0,36.0,81.0,63.0,59.0,4.0,1.0,36.0
AL-504,Montgomery City & County CoC,2015,441.0,333.0,108.0,36.0,24.0,171.0,141.0,30.0,9.0,202.0,139.0,63.0,23.0,373.0,280.0,93.0,32.0,2.0,68.0,53.0,15.0,4.0,22.0
AL-505,Gadsden/Northeast Alabama CoC,2015,156.0,140.0,16.0,7.0,2.0,97.0,81.0,16.0,7.0,6.0,6.0,0.0,0.0,103.0,87.0,16.0,7.0,2.0,53.0,53.0,0.0,0.0,0.0
AL-506,Tuscaloosa City & County CoC,2015,339.0,188.0,151.0,47.0,40.0,0.0,0.0,0.0,0.0,144.0,126.0,18.0,4.0,144.0,126.0,18.0,4.0,0.0,195.0,62.0,133.0,43.0,40.0
AL-507,Alabama Balance of State CoC,2015,638.0,393.0,245.0,84.0,25.0,201.0,65.0,136.0,50.0,271.0,206.0,65.0,21.0,472.0,271.0,201.0,71.0,7.0,166.0,122.0,44.0,13.0,18.0
AR-500,Little Rock/Central Arkansas CoC,2015,830.0,764.0,66.0,25.0,215.0,254.0,224.0,30.0,10.0,237.0,206.0,31.0,13.0,491.0,430.0,61.0,23.0,75.0,339.0,334.0,5.0,2.0,140.0
AR-501,Fayetteville/Northwest Arkansas CoC,2015,665.0,330.0,335.0,104.0,118.0,431.0,197.0,234.0,71.0,173.0,76.0,97.0,31.0,604.0,273.0,331.0,102.0,92.0,61.0,57.0,4.0,2.0,26.0
AR-503,Arkansas Balance of State CoC,2015,814.0,538.0,276.0,96.0,99.0,343.0,212.0,131.0,52.0,80.0,64.0,16.0,6.0,425.0,278.0,147.0,58.0,31.0,389.0,260.0,129.0,38.0,68.0
AR-505,Southeast Arkansas CoC,2015,72.0,51.0,21.0,6.0,2.0,59.0,44.0,15.0,3.0,12.0,6.0,6.0,3.0,71.0,50.0,21.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0
AR-508,Fort Smith CoC,2015,179.0,150.0,29.0,9.0,90.0,74.0,45.0,29.0,9.0,13.0,13.0,0.0,0.0,87.0,58.0,29.0,9.0,34.0,92.0,92.0,0.0,0.0,56.0
AZ-500,Arizona Balance of State CoC,2015,2402.0,1723.0,679.0,202.0,475.0,851.0,508.0,343.0,105.0,246.0,125.0,121.0,38.0,1097.0,633.0,464.0,143.0,20.0,1305.0,1090.0,215.0,59.0,455.0
AZ-501,Tucson/Pima County CoC,2015,1863.0,1296.0,567.0,179.0,328.0,540.0,422.0,118.0,42.0,945.0,514.0,431.0,131.0,1500.0,951.0,549.0,173.0,92.0,363.0,345.0,18.0,6.0,236.0
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2015,5631.0,3529.0,2102.0,621.0,443.0,2004.0,1217.0,787.0,231.0,2313.0,998.0,1315.0,390.0,4342.0,2240.0,2102.0,621.0,185.0,1289.0,1289.0,0.0,0.0,258.0
CA-500,San Jose/Santa Clara City & County CoC,2015,6556.0,5648.0,908.0,266.0,2169.0,807.0,558.0,249.0,69.0,1113.0,517.0,596.0,180.0,1929.0,1084.0,845.0,249.0,184.0,4627.0,4564.0,63.0,17.0,1985.0
CA-501,San Francisco CoC,2015,6775.0,6175.0,600.0,212.0,1574.0,1981.0,1640.0,341.0,124.0,420.0,194.0,226.0,77.0,2417.0,1850.0,567.0,201.0,385.0,4358.0,4325.0,33.0,11.0,1189.0
CA-502,"Oakland, Berkeley/Alameda County CoC",2015,4040.0,3055.0,985.0,324.0,660.0,794.0,448.0,346.0,132.0,849.0,454.0,395.0,145.0,1643.0,902.0,741.0,277.0,159.0,2397.0,2153.0,244.0,47.0,501.0
CA-503,Sacramento City & County CoC,2015,2659.0,1925.0,734.0,238.0,466.0,931.0,567.0,364.0,113.0,780.0,447.0,333.0,114.0,1711.0,1014.0,697.0,227.0,153.0,948.0,911.0,37.0,11.0,313.0
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2015,3097.0,2730.0,367.0,127.0,702.0,634.0,476.0,158.0,53.0,403.0,217.0,186.0,66.0,1037.0,693.0,344.0,119.0,114.0,2060.0,2037.0,23.0,8.0,588.0
CA-505,Richmond/Contra Costa County CoC,2015,2031.0,1634.0,397.0,116.0,551.0,474.0,313.0,161.0,45.0,230.0,73.0,157.0,46.0,704.0,386.0,318.0,91.0,174.0,1327.0,1248.0,79.0,25.0,377.0
CA-506,"Salinas/Monterey, San Benito Counties CoC",2015,2959.0,2506.0,453.0,147.0,598.0,374.0,227.0,147.0,42.0,478.0,185.0,293.0,101.0,852.0,412.0,440.0,143.0,36.0,2107.0,2094.0,13.0,4.0,562.0
CA-507,Marin County CoC,2015,1318.0,1115.0,203.0,57.0,263.0,229.0,181.0,48.0,13.0,254.0,108.0,146.0,42.0,483.0,289.0,194.0,55.0,30.0,835.0,826.0,9.0,2.0,233.0
CA-508,Watsonville/Santa Cruz City & County CoC,2015,1964.0,1483.0,481.0,144.0,512.0,396.0,281.0,115.0,41.0,214.0,54.0,160.0,52.0,610.0,335.0,275.0,93.0,137.0,1354.0,1148.0,206.0,51.0,375.0
CA-509,Mendocino County CoC,2015,947.0,818.0,129.0,42.0,106.0,112.0,89.0,23.0,9.0,40.0,23.0,17.0,7.0,152.0,112.0,40.0,16.0,33.0,795.0,706.0,89.0,26.0,73.0
CA-510,"Turlock, Modesto/Stanislaus County CoC",2015,1408.0,1135.0,273.0,78.0,43.0,558.0,447.0,111.0,32.0,167.0,75.0,92.0,26.0,725.0,522.0,203.0,58.0,17.0,683.0,613.0,70.0,20.0,26.0
CA-511,Stockton/San Joaquin County CoC,2015,1708.0,957.0,751.0,225.0,271.0,628.0,350.0,278.0,81.0,545.0,120.0,425.0,129.0,1173.0,470.0,703.0,210.0,61.0,535.0,487.0,48.0,15.0,210.0
CA-512,Daly/San Mateo County CoC,2015,1483.0,967.0,516.0,147.0,313.0,289.0,170.0,119.0,39.0,419.0,137.0,282.0,73.0,708.0,307.0,401.0,112.0,83.0,775.0,660.0,115.0,35.0,230.0
CA-513,"Visalia/Kings, Tulare Counties CoC",2015,862.0,725.0,137.0,47.0,338.0,161.0,102.0,59.0,21.0,256.0,181.0,75.0,25.0,417.0,283.0,134.0,46.0,12.0,445.0,442.0,3.0,1.0,326.0
CA-514,Fresno City & County/Madera County CoC,2015,1722.0,1410.0,312.0,93.0,366.0,208.0,94.0,114.0,36.0,307.0,116.0,191.0,55.0,539.0,234.0,305.0,91.0,21.0,1183.0,1176.0,7.0,2.0,345.0
CA-515,Rocklin/Roseville/Placer County CoC,2015,796.0,611.0,185.0,61.0,290.0,216.0,144.0,72.0,23.0,81.0,43.0,38.0,14.0,297.0,187.0,110.0,37.0,70.0,499.0,424.0,75.0,24.0,220.0
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2015,591.0,504.0,87.0,29.0,286.0,154.0,123.0,31.0,9.0,90.0,53.0,37.0,13.0,244.0,176.0,68.0,22.0,68.0,347.0,328.0,19.0,7.0,218.0
CA-517,Napa City & County CoC,2015,293.0,226.0,67.0,21.0,125.0,132.0,106.0,26.0,8.0,47.0,6.0,41.0,13.0,179.0,112.0,67.0,21.0,48.0,114.0,114.0,0.0,0.0,77.0
CA-518,Vallejo/Solano County CoC,2015,1082.0,968.0,114.0,34.0,223.0,108.0,38.0,70.0,23.0,179.0,152.0,27.0,5.0,287.0,190.0,97.0,28.0,9.0,795.0,778.0,17.0,6.0,214.0
CA-519,"Chico, Paradise/Butte County CoC",2015,571.0,472.0,99.0,32.0,250.0,211.0,160.0,51.0,15.0,75.0,29.0,46.0,16.0,286.0,189.0,97.0,31.0,44.0,285.0,283.0,2.0,1.0,206.0
CA-520,Merced City & County CoC,2015,898.0,863.0,35.0,13.0,221.0,99.0,92.0,7.0,3.0,56.0,28.0,28.0,10.0,155.0,120.0,35.0,13.0,35.0,743.0,743.0,0.0,0.0,186.0
CA-521,"Davis, Woodland/Yolo County CoC",2015,498.0,362.0,136.0,39.0,82.0,163.0,117.0,46.0,12.0,142.0,62.0,80.0,24.0,305.0,179.0,126.0,36.0,38.0,193.0,183.0,10.0,3.0,44.0
CA-522,Humboldt County CoC,2015,1180.0,1022.0,158.0,54.0,372.0,83.0,46.0,37.0,11.0,161.0,87.0,74.0,23.0,244.0,133.0,111.0,34.0,10.0,936.0,889.0,47.0,20.0,362.0
CA-523,"Colusa, Glenn, Trinity Counties CoC",2015,136.0,80.0,56.0,17.0,32.0,29.0,4.0,25.0,6.0,27.0,9.0,18.0,7.0,56.0,13.0,43.0,13.0,2.0,80.0,67.0,13.0,4.0,30.0
CA-524,Yuba City & County/Sutter County CoC,2015,716.0,420.0,296.0,86.0,39.0,175.0,93.0,82.0,23.0,30.0,15.0,15.0,5.0,205.0,108.0,97.0,28.0,0.0,511.0,312.0,199.0,58.0,39.0
CA-525,El Dorado County CoC,2015,269.0,157.0,112.0,39.0,58.0,46.0,16.0,30.0,11.0,75.0,49.0,26.0,10.0,121.0,65.0,56.0,21.0,8.0,148.0,92.0,56.0,18.0,50.0
CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2015,430.0,337.0,93.0,33.0,98.0,76.0,43.0,33.0,14.0,52.0,18.0,34.0,11.0,128.0,61.0,67.0,25.0,4.0,302.0,276.0,26.0,8.0,94.0
CA-527,Tehama County CoC,2015,138.0,115.0,23.0,7.0,30.0,37.0,30.0,7.0,2.0,41.0,30.0,11.0,4.0,78.0,60.0,18.0,6.0,9.0,60.0,55.0,5.0,1.0,21.0
CA-529,Lake County CoC,2015,315.0,211.0,104.0,36.0,0.0,15.0,2.0,13.0,4.0,12.0,1.0,11.0,5.0,27.0,3.0,24.0,9.0,0.0,288.0,208.0,80.0,27.0,0.0
CA-530,"Alpine, Inyo, Mono Counties CoC",2015,53.0,46.0,7.0,2.0,19.0,7.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,8.0,4.0,4.0,1.0,1.0,45.0,42.0,3.0,1.0,18.0
CA-600,Los Angeles City & County CoC,2015,41174.0,33669.0,7505.0,2419.0,12356.0,6880.0,4239.0,2641.0,887.0,5322.0,3356.0,1966.0,659.0,12226.0,7619.0,4607.0,1546.0,1373.0,28948.0,26050.0,2898.0,873.0,10983.0
CA-601,San Diego City and County CoC,2015,8742.0,6761.0,1981.0,631.0,1547.0,1493.0,955.0,538.0,134.0,3041.0,1842.0,1199.0,410.0,4586.0,2849.0,1737.0,544.0,298.0,4156.0,3912.0,244.0,87.0,1249.0
CA-602,"Santa Ana, Anaheim/Orange County CoC",2015,4452.0,3073.0,1379.0,451.0,558.0,925.0,553.0,372.0,121.0,1326.0,325.0,1001.0,328.0,2251.0,878.0,1373.0,449.0,111.0,2201.0,2195.0,6.0,2.0,447.0
CA-603,Santa Maria/Santa Barbara County CoC,2015,1729.0,1393.0,336.0,100.0,347.0,600.0,475.0,125.0,37.0,239.0,110.0,129.0,40.0,839.0,585.0,254.0,77.0,43.0,890.0,808.0,82.0,23.0,304.0
CA-604,Bakersfield/Kern County CoC,2015,954.0,733.0,221.0,68.0,161.0,361.0,214.0,147.0,45.0,184.0,130.0,54.0,16.0,545.0,344.0,201.0,61.0,30.0,409.0,389.0,20.0,7.0,131.0
CA-606,Long Beach CoC,2015,2345.0,1937.0,408.0,125.0,905.0,391.0,311.0,80.0,27.0,416.0,240.0,176.0,55.0,832.0,576.0,256.0,82.0,191.0,1513.0,1361.0,152.0,43.0,714.0
CA-607,Pasadena CoC,2015,632.0,517.0,115.0,47.0,183.0,83.0,31.0,52.0,20.0,107.0,63.0,44.0,20.0,190.0,94.0,96.0,40.0,7.0,442.0,423.0,19.0,7.0,176.0
CA-608,Riverside City & County CoC,2015,2372.0,2066.0,306.0,89.0,490.0,609.0,441.0,168.0,49.0,275.0,163.0,112.0,30.0,884.0,604.0,280.0,79.0,89.0,1488.0,1462.0,26.0,10.0,401.0
CA-609,San Bernardino City & County CoC,2015,2149.0,1524.0,625.0,222.0,498.0,445.0,150.0,295.0,108.0,393.0,155.0,238.0,89.0,838.0,305.0,533.0,197.0,34.0,1311.0,1219.0,92.0,25.0,464.0
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",2015,1417.0,1084.0,333.0,101.0,469.0,304.0,209.0,95.0,39.0,145.0,54.0,91.0,19.0,460.0,274.0,186.0,58.0,18.0,957.0,810.0,147.0,43.0,451.0
CA-612,Glendale CoC,2015,208.0,133.0,75.0,26.0,57.0,45.0,13.0,32.0,12.0,41.0,0.0,41.0,13.0,86.0,13.0,73.0,25.0,8.0,122.0,120.0,2.0,1.0,49.0
CA-613,Imperial County CoC,2015,554.0,432.0,122.0,38.0,162.0,150.0,90.0,60.0,18.0,40.0,0.0,40.0,14.0,190.0,90.0,100.0,32.0,16.0,364.0,342.0,22.0,6.0,146.0
CA-614,San Luis Obispo County CoC,2015,1515.0,1157.0,358.0,112.0,388.0,337.0,94.0,243.0,80.0,55.0,25.0,30.0,10.0,392.0,119.0,273.0,90.0,6.0,1123.0,1038.0,85.0,22.0,382.0
CO-500,Colorado Balance of State CoC,2015,3545.0,1905.0,1640.0,488.0,605.0,937.0,592.0,345.0,115.0,777.0,227.0,550.0,160.0,1714.0,819.0,895.0,275.0,201.0,1831.0,1086.0,745.0,213.0,404.0
CO-503,Metropolitan Denver CoC,2015,5335.0,3039.0,2296.0,662.0,692.0,2349.0,1626.0,723.0,212.0,2217.0,725.0,1492.0,418.0,4590.0,2375.0,2215.0,630.0,427.0,745.0,664.0,81.0,32.0,265.0
CO-504,Colorado Springs/El Paso County CoC,2015,1073.0,785.0,288.0,92.0,275.0,496.0,412.0,84.0,29.0,334.0,133.0,201.0,62.0,830.0,545.0,285.0,91.0,126.0,243.0,240.0,3.0,1.0,149.0
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",2015,913.0,547.0,366.0,119.0,116.0,545.0,341.0,204.0,65.0,228.0,76.0,152.0,51.0,773.0,417.0,356.0,116.0,50.0,140.0,130.0,10.0,3.0,66.0
CT-505,Connecticut Balance of State CoC,2015,3134.0,2172.0,962.0,337.0,422.0,1873.0,1274.0,599.0,206.0,775.0,433.0,342.0,123.0,2648.0,1707.0,941.0,329.0,190.0,486.0,465.0,21.0,8.0,232.0
DC-500,District of Columbia CoC,2015,7298.0,3821.0,3477.0,1131.0,1593.0,5085.0,2612.0,2473.0,768.0,1669.0,665.0,1004.0,363.0,6754.0,3277.0,3477.0,1131.0,1273.0,544.0,544.0,0.0,0.0,320.0
DE-500,Delaware Statewide CoC,2015,953.0,602.0,351.0,115.0,64.0,529.0,361.0,168.0,53.0,387.0,204.0,183.0,62.0,916.0,565.0,351.0,115.0,59.0,37.0,37.0,0.0,0.0,5.0
FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",2015,1198.0,978.0,220.0,81.0,215.0,417.0,327.0,90.0,29.0,304.0,196.0,108.0,42.0,721.0,523.0,198.0,71.0,36.0,477.0,455.0,22.0,10.0,179.0
FL-501,Tampa/Hillsborough County CoC,2015,1931.0,1363.0,568.0,169.0,303.0,669.0,377.0,292.0,86.0,497.0,282.0,215.0,66.0,1175.0,668.0,507.0,152.0,96.0,756.0,695.0,61.0,17.0,207.0
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",2015,3387.0,2903.0,484.0,151.0,631.0,1367.0,1044.0,323.0,99.0,810.0,653.0,157.0,51.0,2215.0,1735.0,480.0,150.0,115.0,1172.0,1168.0,4.0,1.0,516.0
FL-503,"Lakeland, Winterhaven/Polk County CoC",2015,464.0,348.0,116.0,37.0,87.0,138.0,81.0,57.0,19.0,89.0,61.0,28.0,9.0,227.0,142.0,85.0,28.0,8.0,237.0,206.0,31.0,9.0,79.0
FL-504,"Deltona, Daytona Beach/Volusia, Flagler Counties CoC",2015,1325.0,930.0,395.0,154.0,246.0,218.0,178.0,40.0,14.0,332.0,133.0,199.0,62.0,550.0,311.0,239.0,76.0,32.0,775.0,619.0,156.0,78.0,214.0
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",2015,683.0,566.0,117.0,41.0,274.0,154.0,104.0,50.0,16.0,118.0,51.0,67.0,25.0,272.0,155.0,117.0,41.0,23.0,411.0,411.0,0.0,0.0,251.0
FL-506,Tallahassee/Leon County CoC,2015,863.0,625.0,238.0,73.0,129.0,320.0,211.0,109.0,32.0,326.0,199.0,127.0,40.0,646.0,410.0,236.0,72.0,40.0,217.0,215.0,2.0,1.0,89.0
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",2015,2112.0,1392.0,720.0,224.0,172.0,887.0,566.0,321.0,102.0,933.0,555.0,378.0,116.0,1820.0,1121.0,699.0,218.0,36.0,292.0,271.0,21.0,6.0,136.0
FL-508,"Gainesville/Alachua, Putnam Counties CoC",2015,870.0,788.0,82.0,34.0,377.0,129.0,94.0,35.0,14.0,188.0,149.0,39.0,18.0,317.0,243.0,74.0,32.0,33.0,553.0,545.0,8.0,2.0,344.0
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2015,2412.0,1299.0,1113.0,421.0,110.0,123.0,33.0,90.0,20.0,113.0,59.0,54.0,18.0,236.0,92.0,144.0,38.0,6.0,2176.0,1207.0,969.0,383.0,104.0
FL-510,"Jacksonville-Duval, Clay Counties CoC",2015,1853.0,1354.0,499.0,161.0,327.0,839.0,512.0,327.0,110.0,588.0,426.0,162.0,48.0,1427.0,938.0,489.0,158.0,179.0,426.0,416.0,10.0,3.0,148.0
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",2015,1014.0,874.0,140.0,40.0,219.0,186.0,136.0,50.0,14.0,352.0,281.0,71.0,19.0,538.0,417.0,121.0,33.0,128.0,476.0,457.0,19.0,7.0,91.0
FL-512,St. Johns County CoC,2015,1161.0,897.0,264.0,64.0,112.0,97.0,42.0,55.0,16.0,101.0,9.0,92.0,21.0,198.0,51.0,147.0,37.0,11.0,963.0,846.0,117.0,27.0,101.0
FL-513,"Palm Bay, Melbourne/Brevard County CoC",2015,1072.0,616.0,456.0,136.0,148.0,159.0,52.0,107.0,28.0,525.0,192.0,333.0,104.0,684.0,244.0,440.0,132.0,2.0,388.0,372.0,16.0,4.0,146.0
FL-514,Ocala/Marion County CoC,2015,787.0,619.0,168.0,55.0,66.0,163.0,106.0,57.0,19.0,96.0,61.0,35.0,10.0,259.0,167.0,92.0,29.0,1.0,528.0,452.0,76.0,26.0,65.0
FL-515,"Panama City/Bay, Jackson Counties CoC",2015,317.0,272.0,45.0,16.0,25.0,43.0,30.0,13.0,5.0,140.0,119.0,21.0,8.0,183.0,149.0,34.0,13.0,2.0,134.0,123.0,11.0,3.0,23.0
FL-517,"Hendry, Hardee, Highlands Counties CoC",2015,1218.0,620.0,598.0,166.0,227.0,129.0,66.0,63.0,21.0,149.0,14.0,135.0,45.0,278.0,80.0,198.0,66.0,25.0,940.0,540.0,400.0,100.0,202.0
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2015,1115.0,876.0,239.0,70.0,170.0,36.0,15.0,21.0,7.0,30.0,30.0,0.0,0.0,66.0,45.0,21.0,7.0,0.0,1049.0,831.0,218.0,63.0,170.0
FL-519,Pasco County CoC,2015,1019.0,792.0,227.0,93.0,296.0,96.0,64.0,32.0,14.0,63.0,48.0,15.0,7.0,159.0,112.0,47.0,21.0,42.0,860.0,680.0,180.0,72.0,254.0
